id	name	state	climateRegion	climateDivision	country	lat	lon
72514	WILLIAMSPORT	PA	NE	8	US	41.25	-76.92
72515	BINGHAMTON	NY	NE	3	US	42.22	-75.98
72518	ALBANY	NY	NE	4	US	42.75	-73.8
72519	SYRACUSE	NY	NE	5	US	43.12	-76.12
72520	PITTSBURGH	PA	NE	8	US	40.5	-80.23
72524	CLEVELAND/HOPKINS	OH	MW	5	US	41.4	-81.85
72528	BUFFALO	NY	NE	5	US	42.93	-78.73
72530	CHICAGO/O'HARE	IL	MW	25	US	41.98	-87.9
72533	FORT WAYNE	IN	MW	23	US	41	-85.2
72537	DETROIT	MI	MW	23	US	42.23	-83.33
72544	MOLINE	IL	MW	25	US	41.45	-90.52
72546	DES MOINES	IA	MW	33	US	41.53	-93.65
72562	NORTH PLATTE	NE	HP	35	US	41.13	-100.68
72564	CHEYENNE	WY	HP	37	US	41.15	-104.82
72567	VALENTINE	NE	HP	35	US	42.87	-100.55
72569	CASPER	WY	HP	37	US	42.92	-106.47
72572	SALT LAKE CITY	UT	W	83	US	40.78	-111.97
72576	LANDER	WY	HP	32	US	42.82	-108.73
72578	POCATELLO	ID	W	77	US	42.92	-112.6
72591	RED BLUFF	CA	W	88	US	40.15	-122.25
72597	MEDFORD	OR	W	81	US	42.37	-122.87
72606	PORTLAND	ME	NE	2	US	43.65	-70.32
72617	BURLINGTON	VT	NE	3	US	44.47	-73.15
72635	GRAND RAPIDS	MI	MW	22	US	42.88	-85.52
72640	MILWAUKEE	WI	MW	25	US	42.95	-87.9
72641	MADISON	WI	MW	25	US	43.13	-89.33
72645	GREEN BAY	WI	MW	14	US	44.48	-88.13
72654	HURON	SD	HP	28	US	44.38	-98.23
72658	MINNEAPOLIS	MN	MW	27	US	44.88	-93.22
72662	RAPID CITY	SD	HP	30	US	44.05	-103.07
72677	BILLINGS	MT	W	20	US	45.8	-108.53
72681	BOISE	ID	W	79	US	43.57	-116.23
72688	PENDLETON	OR	W	74	US	45.68	-118.85
72698	PORTLAND	OR	W	81	US	45.6	-122.6
72712	CARIBOU	ME	NE	1	US	46.87	-68.01
72745	DULUTH	MN	MW	15	US	46.83	-92.18
72747	INTERNATIONAL FALLS	MN	MW	15	US	48.57	-93.38
72753	FARGO	ND	HP	16	US	46.9	-96.8
72764	BISMARCK	ND	HP	17	US	46.78	-100.75
72767	WILLISTON	ND	HP	17	US	48.18	-103.63
72773	MISSOULA	MT	W	21	US	46.92	-114.08
72775	GREAT FALLS	MT	W	20	US	47.48	-111.37
72777	HAVRE	MT	W	19	US	48.55	-109.77
72785	SPOKANE	WA	W	72	US	47.62	-117.53
72793	SEATTLE-TACOMA	WA	W	75	US	47.45	-122.3
72242	GALVESTON	TX	S	71	US	29.3	-94.8
72261	DEL RIO	TX	S	64	US	29.37	-100.92
72583	WINNEMUCCA	NV	W	87	US	40.9	-117.8
72734	SAULT STE. MARIE	MI	MW	14	US	46.48	-84.37
